"Step","Group: ANDMask - test_error","Group: ANDMask - test_error__MIN","Group: ANDMask - test_error__MAX","Group: IGA - test_error","Group: IGA - test_error__MIN","Group: IGA - test_error__MAX","Group: IB-IRM - test_error","Group: IB-IRM - test_error__MIN","Group: IB-IRM - test_error__MAX","Group: IRMv1 - test_error","Group: IRMv1 - test_error__MIN","Group: IRMv1 - test_error__MAX","Group: ERM - test_error","Group: ERM - test_error__MIN","Group: ERM - test_error__MAX"
"0","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.5325800041357677","0.5289333363374075","0.5353666742642721","0.5325800041357677","0.5289333363374075","0.5353666742642721","0.5325800041357677","0.5289333363374075","0.5353666742642721","0.5325800041357677","0.5289333363374075","0.5353666742642721"
"1","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.45245333512624103","0.4496666689713796","0.4558666745821635","0.451833333571752","0.44893333315849304","0.4548666675885518","0.451833333571752","0.44893333315849304","0.4548666675885518"
"2","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.4518599987030029","0.4489000042279561","0.4549333353837331","0.451833333571752","0.44893333315849304","0.4548666675885518","0.451833333571752","0.44893333315849304","0.4548666675885518"
"3","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.45392000277837125","0.4502000113328298","0.4577333430449168","0.4518266657988231","0.44893333315849304","0.45483332872390747","0.451833333571752","0.44893333315849304","0.4548666675885518"
"4","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.4961666663487752","0.49283332626024884","0.5027999977270762","0.4525733331839244","0.44946666558583576","0.4562666614850362","0.451833333571752","0.44893333315849304","0.4548666675885518"
"5","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.529993333419164","0.5263000130653381","0.5352666477362314","0.5011399924755097","0.49806665380795795","0.5063666502634684","0.451833333571752","0.44893333315849304","0.4548666675885518"
"6","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.534253333012263","0.5280666649341583","0.539333333571752","0.5081466714541116","0.501666655143102","0.5192666749159495","0.451833333571752","0.44893333315849304","0.4548666675885518"
"7","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.5164133310317993","0.5143666466077169","0.5179000099500021","0.5222400029500326","0.512333333492279","0.5335000058015188","0.451833333571752","0.44893333315849304","0.4548666675885518"
"8","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.47007333040237426","0.462666650613149","0.48176666100819904","0.4900400022665659","0.47136667370796204","0.5063000023365021","0.451833333571752","0.44893333315849304","0.4548666675885518"
"9","0.4982933342456818","0.4951000014940898","0.5017999907334646","0.451833333571752","0.44893333315849304","0.4548666675885518","0.45327999989191686","0.44973333676656085","0.4578666687011719","0.4525066653887431","0.4494333366552989","0.45546666781107586","0.451833333571752","0.44893333315849304","0.4548666675885518"
